Entrez_Gene_Id	hugo_gene	kendall_t	pearson_r	spearman_r
1	A1BG	0.134905565915	0.150401836403	0.17062788977
2	A2M	0.0267010160233	0.116564345285	0.0336695405963
9	NAT1	0.323725677347	0.411503637981	0.407955433744
10	NAT2	0.0675943242921	0.0276574224601	0.0782604710461
12	SERPINA3	0.0	0.0	0.0
13	AADAC	0.0632530648353	0.0934321759511	0.0730101996994
14	AAMP	0.364435509805	0.406301019467	0.451668791513
15	AANAT	0.0923434300962	0.124301594539	0.115904866981
16	AARS	0.315538221053	0.351394686341	0.39691387887
18	ABAT	0.142810234552	0.213476686779	0.180998843448
19	ABCA1	0.168842458402	0.210506129092	0.211082485265
20	ABCA2	0.194199577515	0.242606323101	0.244260252217
21	ABCA3	0.0404570275295	0.0630964481461	0.0511190093207
22	ABCB7	0.0	0.0	0.0
23	ABCF1	0.553733538616	0.622535583084	0.677455133096
24	ABCA4	0.0	0.0140846399065	0.0
25	ABL1	0.504794302617	0.541387440234	0.625486147872
26	AOC1	0.0735231975828	0.0346404880352	0.095126902705
27	ABL2	0.241925320426	0.293940156482	0.305815261693
28	ABO	0.023774843767	0.0677216435863	0.0303155428759
29	ABR	0.295298072203	0.277143448587	0.371346577127
30	ACAA1	0.254684800257	0.370646419743	0.321091575498
31	ACACA	0.254481911219	0.338111075546	0.322637367871
32	ACACB	0.145849456529	0.211626304734	0.183269627891
33	ACADL	0.0996648648123	0.0288534330318	0.121375854142
34	ACADM	0.304938784823	0.384520429598	0.381814789462
35	ACADS	0.180815733964	0.209472342249	0.227187104125
36	ACADSB	0.228434384765	0.332226250204	0.281000893768
37	ACADVL	0.32073997824	0.384016072175	0.404888779279
38	ACAT1	0.399341127453	0.505214474008	0.49851293288
39	ACAT2	0.278943700778	0.255844877005	0.346709947053
40	ASIC2	0.0	0.0270299886434	0.0
41	ASIC1	0.104301786499	0.124068451904	0.131800596152
43	ACHE	0.141697999286	0.0904024378034	0.181095902179
47	ACLY	0.370880940451	0.451323757921	0.461818541553
48	ACO1	0.275913863345	0.36863733537	0.342691982057
49	ACR	0.0611306033045	0.0721330473042	0.0763383769156
50	ACO2	0.398727204234	0.451036947752	0.488612323074
51	ACOX1	0.425562298191	0.527117112706	0.532755209884
52	ACP1	0.406837717274	0.434446466872	0.500565129587
